GA
com.azure:azure-core
com.azure:azure-core-http-netty
com.azure:azure-identity
com.azure:azure-security-keyvault-keys
com.azure:azure-security-keyvault-secrets
com.fasterxml.jackson.dataformat:jackson-dataformat-cbor
com.fasterxml.jackson.dataformat:jackson-dataformat-xml
com.fasterxml.jackson.datatype:jackson-datatype-jdk8
com.fasterxml.jackson.module:jackson-module-jaxb-annotations
com.fasterxml.woodstox:woodstox-core
com.github.jknack:handlebars
com.github.jknack:handlebars-helpers
com.github.stephenc.jcip:jcip-annotations
com.github.tomakehurst:wiremock-jre8
com.github.tomakehurst:wiremock-jre8-standalone
com.google.auto.service:auto-service
com.google.auto.value:auto-value
com.google.dagger:dagger
com.google.dagger:dagger-compiler
com.google.dagger:dagger-producers
com.google.dagger:dagger-spi
com.google.errorprone:error_prone_test_helpers
com.google.errorprone:javac-shaded
com.google.errorprone:javac
com.google.googlejavaformat:google-java-format
com.google.jimfs:jimfs
com.google.testing.compile:compile-testing
com.google.truth:truth
com.graphql-java:graphql-java
com.graphql-java:java-dataloader
com.jolbox:bonecp
com.microsoft.azure:msal4j
com.moandjiezana.toml:toml4j
com.nimbusds:content-type
com.nimbusds:lang-tag
com.nimbusds:nimbus-jose-jwt
com.nimbusds:oauth2-oidc-sdk
com.oracle.ojdbc:ojdbc10
com.oracle.ojdbc:ons
com.oracle.ojdbc:oraclepki
com.oracle.ojdbc:osdt_cert
com.oracle.ojdbc:osdt_core
com.oracle.ojdbc:simplefan
com.oracle.ojdbc:ucp
com.splunk.logging:splunk-library-javalogging
com.squareup.okhttp:logging-interceptor
com.squareup.okhttp:okhttp
com.squareup.okhttp:okhttp-ws
com.squareup:javapoet
commons-fileupload:commons-fileupload
de.codeshelf.consoleui:consoleui
dnsjava:dnsjava
io.jaegertracing:jaeger-client
io.jaegertracing:jaeger-core
io.jaegertracing:jaeger-thrift
io.jaegertracing:jaeger-tracerresolver
io.kubernetes:client-java
io.kubernetes:client-java-api
io.kubernetes:client-java-proto
io.opentelemetry:opentelemetry-extension-trace-propagators
io.opentracing.contrib:opentracing-concurrent
io.opentracing.contrib:opentracing-okhttp3
io.opentracing.contrib:opentracing-tracerresolver
io.opentracing:opentracing-api
io.opentracing:opentracing-noop
io.opentracing:opentracing-util
io.pkts:pkts-buffers
io.pkts:pkts-core
io.projectreactor.netty:reactor-netty
io.sundr:builder-annotations
io.sundr:resourcecify-annotations
io.sundr:sundr-codegen
io.sundr:sundr-core
io.vertx:vertx-auth-jwt
io.vertx:vertx-codegen
io.vertx:vertx-jwt
io.vertx:vertx-lang-kotlin
io.vertx:vertx-lang-kotlin-coroutines
io.vertx:vertx-unit
io.vertx:vertx-web-client
javax.annotation:javax.annotation-api
javax.annotation:jsr250-api
javax.inject:javax.inject
jline:jline
net.consensys.services:quorum-mainnet-launcher
net.consensys:orion
net.java.dev.jna:jna-platform
net.ltgt.gradle.incap:incap
net.sourceforge.serp:serp
org.apache.commons:commons-collections4
org.apache.commons:commons-pool2
org.apache.geronimo.specs:geronimo-jms_1.1_spec
org.apache.geronimo.specs:geronimo-jpa_2.2_spec
org.apache.geronimo.specs:geronimo-jta_1.1_spec
org.apache.logging.log4j:log4j-jul
org.apache.openjpa:openjpa
org.apache.thrift:libthrift
org.apache.tomcat.embed:tomcat-embed-core
org.apache.tomcat:tomcat-annotations-api
org.apache.tuweni:concurrent
org.apache.tuweni:concurrent-coroutines
org.apache.tuweni:config
org.apache.tuweni:io
org.apache.tuweni:kv
org.apache.tuweni:net
org.apache.tuweni:rlp
org.apache.tuweni:toml
org.apache.tuweni:tuweni-config
org.apache.tuweni:tuweni-devp2p
org.apache.tuweni:tuweni-dns-discovery
org.apache.tuweni:tuweni-kademlia
org.apache.tuweni:tuweni-merkle-trie
org.apache.tuweni:tuweni-net
org.apache.xbean:xbean-asm7-shaded
org.bouncycastle:bcprov-ext-jdk15on
org.bouncycastle:bcutil-jdk15on
org.checkerframework:checker-compat-qual
org.connid:framework
org.connid:framework-internal
org.conscrypt:conscrypt-openjdk-uber
org.eclipse.collections:eclipse-collections-api
org.eclipse.jetty.http2:http2-common
org.eclipse.jetty.http2:http2-hpack
org.eclipse.jetty.http2:http2-server
org.eclipse.jetty:jetty-alpn-client
org.eclipse.jetty:jetty-alpn-conscrypt-client
org.eclipse.jetty:jetty-alpn-conscrypt-server
org.eclipse.jetty:jetty-alpn-server
org.eclipse.jetty:jetty-continuation
org.eclipse.jetty:jetty-proxy
org.eclipse.jetty:jetty-servlets
org.fusesource.jansi:jansi
org.fusesource.leveldbjni:leveldbjni-all
org.hamcrest:hamcrest-library
org.hyperledger.besu:bls12-381
org.hyperledger.besu:secp256k1
org.hyperledger.besu:secp256r1
org.immutables:value
org.immutables:value-annotations
org.jacoco:org.jacoco.agent
org.jacoco:org.jacoco.ant
org.jacoco:org.jacoco.core
org.jacoco:org.jacoco.report
org.jetbrains.kotlinx:kotlinx-coroutines-core-jvm
org.jetbrains.kotlinx:kotlinx-metadata-jvm
org.joda:joda-convert
org.lz4:lz4-java
org.mapdb:elsa
org.mapdb:mapdb
org.mvel:mvel2
org.nanohttpd:nanohttpd
org.openjdk.jmh:jmh-generator-asm
org.openjdk.jmh:jmh-generator-bytecode
org.openjdk.jmh:jmh-generator-reflection
org.postgresql:postgresql
org.springframework.security:spring-security-crypto
org.web3j:besu
org.web3j:eea
org.web3j:quorum
org.xmlunit:xmlunit-legacy
tech.pegasys.ethsigner.internal:ethsigner-core
tech.pegasys.signers.internal:keystorage-azure
tech.pegasys.signers.internal:keystorage-hashicorp
tech.pegasys.signers.internal:signing-secp256k1-api
tech.pegasys.signers.internal:signing-secp256k1-impl
