GA
com.fasterxml.jackson.core:jackson-annotations
com.fasterxml.jackson.core:jackson-core
com.fasterxml.jackson.core:jackson-databind
com.fasterxml.jackson.datatype:jackson-datatype-jsr310
com.fasterxml.jackson.module:jackson-module-kotlin
com.fasterxml.jackson:jackson-bom
com.github.ben-manes.caffeine:caffeine
com.github.docker-java:docker-java-api
com.github.docker-java:docker-java-transport
com.github.jnr:jffi
com.github.jnr:jnr-a64asm
com.github.jnr:jnr-ffi
com.github.jnr:jnr-x86asm
com.github.kevinstern:software-and-algorithms
com.google.android:annotations
com.google.api.grpc:proto-google-common-protos
com.google.auto.service:auto-service-annotations
com.google.auto.value:auto-value-annotations
com.google.auto:auto-common
com.google.code.findbugs:jFormatString
com.google.code.findbugs:jsr305
com.google.code.gson:gson
com.google.errorprone:error_prone_annotation
com.google.errorprone:error_prone_annotations
com.google.errorprone:error_prone_check_api
com.google.errorprone:error_prone_core
com.google.errorprone:error_prone_type_annotations
com.google.guava:failureaccess
com.google.guava:guava
com.google.guava:listenablefuture
com.google.j2objc:j2objc-annotations
com.google.protobuf:protobuf-java
com.jayway.jsonpath:json-path
com.squareup.okhttp3:logging-interceptor
com.squareup.okhttp3:okhttp
com.squareup.okio:okio
com.sun.mail:javax.mail
commons-codec:commons-codec
commons-io:commons-io
commons-logging:commons-logging
info.picocli:picocli
io.github.java-diff-utils:java-diff
io.grpc:grpc-api
io.grpc:grpc-context
io.grpc:grpc-core
io.grpc:grpc-netty
io.grpc:grpc-protobuf
io.grpc:grpc-protobuf-lite
io.grpc:grpc-stub
io.netty:netty-all
io.netty:netty-buffer
io.netty:netty-codec
io.netty:netty-codec-dns
io.netty:netty-codec-http
io.netty:netty-codec-http2
io.netty:netty-codec-socks
io.netty:netty-common
io.netty:netty-handler
io.netty:netty-handler-proxy
io.netty:netty-resolver
io.netty:netty-resolver-dns
io.netty:netty-tcnative-boringssl-static
io.netty:netty-transport
io.netty:netty-transport-native-epoll
io.netty:netty-transport-native-kqueue
io.netty:netty-transport-native-unix
io.opentelemetry:opentelemetry-api
