GA
cc.vileda:kotlin-openapi3-dsl
com.barchart.udt:barchart-udt-bundle
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml
com.fasterxml.jackson.datatype:jackson-datatype-json-org
com.fasterxml.jackson.module:jackson-module-jsonSchema
com.fasterxml.uuid:java-uuid-generator
com.fasterxml:aalto-xml
com.github.java-json-tools:btf
com.github.java-json-tools:jackson-coreutils
com.github.java-json-tools:json-patch
com.github.java-json-tools:json-schema
com.github.java-json-tools:msg-simple
com.github.java-json-tools:uri-template
com.github.jnr:jnr-constants
com.github.jnr:jnr-enxio
com.github.jnr:jnr-posix
com.github.jnr:jnr-unixsocket
com.googlecode.json-simple:json-simple
com.googlecode.libphonenumber:libphonenumber
com.jcraft:jzlib
com.launchdarkly:okhttp-eventsource
com.lmax:disruptor
com.reprezen.jsonoverlay:jsonoverlay
com.reprezen.kaizen:openapi-parser
com.squareup.okhttp3:mockwebserver
com.sun.mail:mailapi
com.zaxxer:HikariCP-java7
io.github.classgraph:classgraph
io.javalin:javalin
io.javalin:javalin-openapi
io.libp2p:jvm-libp2p-minimal
io.netty:netty-codec-haproxy
io.netty:netty-codec-memcache
io.netty:netty-codec-mqtt
io.netty:netty-codec-redis
io.netty:netty-codec-smtp
io.netty:netty-codec-stomp
io.netty:netty-codec-xml
io.netty:netty-resolver-dns-native
io.netty:netty-transport-rxtx
io.netty:netty-transport-sctp
io.netty:netty-transport-udt
io.swagger.core.v3:swagger-annotations
io.swagger.core.v3:swagger-core
io.swagger.core.v3:swagger-models
io.swagger.parser.v3:swagger-parser
io.swagger.parser.v3:swagger-parser-core
io.swagger.parser.v3:swagger-parser-v2-converter
io.swagger.parser.v3:swagger-parser-v3
io.swagger:swagger-compat-spec-parser
io.swagger:swagger-core
io.swagger:swagger-models
io.swagger:swagger-parser
it.unimi.dsi:fastutil
jakarta.validation:jakarta.validation-api
javax.activation:javax.activation-api
javax.mail:javax.mail-api
javax.validation:validation-api
org.apache.tuweni:tuweni-junit
org.apache.tuweni:tuweni-plumtree
org.apache.tuweni:tuweni-rlpx
org.apache.tuweni:tuweni-ssz
org.apache.velocity:velocity-engine-core
org.apache.velocity:velocity-engine-scripting
org.apiguardian:apiguardian-api
org.eclipse.jetty.websocket:websocket-api
org.eclipse.jetty.websocket:websocket-client
org.eclipse.jetty.websocket:websocket-common
org.eclipse.jetty.websocket:websocket-server
org.eclipse.jetty.websocket:websocket-servlet
org.fusesource.hawtjni:hawtjni-runtime
org.fusesource.leveldbjni:leveldbjni
org.fusesource.leveldbjni:leveldbjni-win32
org.fusesource.leveldbjni:leveldbjni-win64
org.hdrhistogram:HdrHistogram
org.iq80.leveldb:leveldb-api
org.jetbrains.kotlinx:kotlinx-coroutines-core-common
org.json:json
org.jsoup:jsoup
org.junit.jupiter:junit-jupiter-api
org.junit.jupiter:junit-jupiter-engine
org.junit.jupiter:junit-jupiter-params
org.junit.platform:junit-platform-commons
org.junit.platform:junit-platform-engine
org.junit:junit-bom
org.logl:logl-api
org.mock-server:mockserver-client-java
org.mock-server:mockserver-core
org.mock-server:mockserver-junit-jupiter
org.mock-server:mockserver-netty
org.mozilla:rhino
org.opentest4j:opentest4j
org.quartz-scheduler:quartz
org.rxtx:rxtx
org.slf4j:slf4j-ext
org.testcontainers:junit-jupiter
org.webjars.npm:redoc
org.webjars:swagger-ui
tech.pegasys.signers.internal:bls-keystore
tech.pegasys.tools.epchecks:errorprone-checks
tech.pegasys:jblst
tech.pegasys:leveldb-native
tech.pegasys:noise-java
